AWS Account ID,AWS Account Name,Region,ID,State,EC2 Name,Internal IP Address,External IP Address,Private IP DNS Name,OS Version,NetworkPosition,TerragruntPath,Product,EnvironmentName,ManagedBy,Description,Name,TerraformComponent,AccountClass,Service,EnvironmentClass,Owner,DataClassification,ProxyEnabled,DailyBackupEnabled,Sequence,auto-start-stop,EnableCloudWatchAlarms,is_personal,k8s.io/cluster-autoscaler/shared-dev-lon-eks-fargate-apps,aws:ec2launchtemplate:version,aws:ec2:fleet-id,eks:nodegroup-name,aws:ec2launchtemplate:id,k8s.io/cluster-autoscaler/enabled,aws:eks:cluster-name,aws:autoscaling:groupName,kubernetes.io/cluster/shared-dev-lon-eks-fargate-apps,eks:cluster-name,AmazonECSManaged,kubernetes.io/cluster/shared-prod-lon-eks-fargate-apps,k8s.io/cluster-autoscaler/shared-prod-lon-eks-fargate-apps,Type,k8s.io/cluster-autoscaler/core-prod-lon-eks-fargate-app,kubernetes.io/cluster/core-prod-lon-eks-fargate-app,Stack,AWSBatchServiceTag,Application,k8s.io/cluster-autoscaler/core-dev-lon-eks-fargate-apps,kubernetes.io/cluster/core-dev-lon-eks-fargate-apps,kubernetes.io/cluster/core-stg-lon-eks-fargate-apps,k8s.io/cluster-autoscaler/core-stg-lon-eks-fargate-apps
733930943835,shared-dev,eu-west-2,i-0cdeb9b765cee755d,stopped,aws-shared-dev-lon-zpa-connector-2,10.2.11.99,N/A,ip-10-2-11-99.eu-west-2.compute.internal,N/A,private,shared-dev/region/eu-west-2/zpa-connector,platform,shared-dev,Terraform,ZPA Connector Server 2 in shared-dev environment,aws-shared-dev-lon-zpa-connector-2,zpa-connector,shared,zpa-connector,dev,SecOps,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-01ceead20fa24374d,running,aws-shared-dev-lon-squid-2,10.2.10.250,N/A,ip-10-2-10-250.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/squid,platform,shared-dev,Terraform,squid 2 server in shared-dev environment,aws-shared-dev-lon-squid-2,squid,shared,squid,dev,Engineering,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-0cf2fe1c7821a2bb6,stopped,aws-shared-dev-lon-zpa-connector-1,10.2.9.18,N/A,ip-10-2-9-18.eu-west-2.compute.internal,N/A,private,shared-dev/region/eu-west-2/zpa-connector,platform,shared-dev,Terraform,ZPA Connector Server 1 in shared-dev environment,aws-shared-dev-lon-zpa-connector-1,zpa-connector,shared,zpa-connector,dev,SecOps,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-0c488aaa7dd9df09a,running,aws-shared-dev-lon-squid-1,10.2.8.172,N/A,ip-10-2-8-172.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/squid,platform,shared-dev,Terraform,squid 1 server in shared-dev environment,aws-shared-dev-lon-squid-1,squid,shared,squid,dev,Engineering,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-03c1d9ba95eadf433,running,aws-shared-dev-lon-grafana-shared-1,10.2.8.67,N/A,ip-10-2-8-67.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/grafana,all,shared-dev,Terraform,grafana-shared 1 server in shared-dev environment,aws-shared-dev-lon-grafana-shared-1,grafana,shared,grafana-shared,dev,Data,confidential,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-0438828487a0c4460,running,aws-shared-dev-lon-influxdb-1,10.2.8.103,N/A,ip-10-2-8-103.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/influxdb,trading,shared-dev,Terraform,influxdb 1 server in shared-dev environment,aws-shared-dev-lon-influxdb-1,influxdb,shared,influxdb,dev,Data,confidential,true,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-0841204d84fe8bf1e,running,aws-shared-dev-lon-devsrv-mehmeterbil,10.2.9.0,N/A,ip-10-2-9-0.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/dev-server-mehmeterbil,infra,shared-dev,Terraform,Development Server for mehmeterbil in shared-dev environment,aws-shared-dev-lon-devsrv-mehmeterbil,dev-server-mehmeterbil,shared,infra-server,dev,SecOps,confidential,true,false,,Disabled,False,true,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-0dffccabfcc93bcfb,running,aws-shared-dev-lon-devsrv-antoniopagliara,10.2.9.45,N/A,ip-10-2-9-45.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/dev-server-antoniopagliara,infra,shared-dev,Terraform,Development Server for antoniopagliara in shared-dev environment,aws-shared-dev-lon-devsrv-antoniopagliara,dev-server-antoniopagliara,shared,infra-server,dev,Platform,confidential,true,false,,Disabled,false,true,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-09dc9f8e3a16b3904,running,aws-shared-dev-lon-grafana-shared-2,10.2.10.125,N/A,ip-10-2-10-125.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/grafana,all,shared-dev,Terraform,grafana-shared 2 server in shared-dev environment,aws-shared-dev-lon-grafana-shared-2,grafana,shared,grafana-shared,dev,Data,confidential,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-03087fbed635ae721,running,aws-shared-dev-lon-devsrv-benperry,10.2.8.94,N/A,ip-10-2-8-94.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/dev-server-benperry,infra,shared-dev,Terraform,Development Server for benperry in shared-dev environment,aws-shared-dev-lon-devsrv-benperry,dev-server-benperry,shared,infra-server,dev,SecOps,confidential,true,false,,Disabled,False,true,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-06c9d6bbc792f8109,running,aws-shared-dev-lon-devsrv-charlestonchin,10.2.8.163,N/A,ip-10-2-8-163.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/dev-server-charlestonchin,infra,shared-dev,Terraform,Development Server for charlestonchin in shared-dev environment,aws-shared-dev-lon-devsrv-charlestonchin,dev-server-charlestonchin,shared,infra-server,dev,Platform,confidential,true,false,,Disabled,false,true,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-099ee26cab7d6c343,running,aws-shared-dev-lon-questdb-1,10.2.8.209,N/A,ip-10-2-8-209.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/questdb,trading,shared-dev,Terraform,aws-shared-dev-lon-questdb-1,aws-shared-dev-lon-questdb-1,questdb,shared,questdb,dev,Data,confidential,false,false,,,false,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-0847f24c4eac91e2c,running,aws-shared-dev-lon-influxdb-2,10.2.10.255,N/A,ip-10-2-10-255.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/influxdb,trading,shared-dev,Terraform,influxdb 2 server in shared-dev environment,aws-shared-dev-lon-influxdb-2,influxdb,shared,influxdb,dev,Data,confidential,true,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-0ba140322c3445c01,running,aws-shared-dev-lon-zpa-connector-4,10.2.3.254,N/A,ip-10-2-3-254.eu-west-2.compute.internal,N/A,bypass,shared-dev/region/eu-west-2/zpa-connector,platform,shared-dev,Terraform,ZPA Connector Server 4 in shared-dev environment,aws-shared-dev-lon-zpa-connector-4,zpa-connector,shared,zpa-connector,dev,SecOps,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-050d1c981d612ce92,running,aws-shared-dev-lon-devsrv-sergeivalevka,10.2.8.187,N/A,ip-10-2-8-187.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/dev-server-sergeivalevka,infra,shared-dev,Terraform,Development Server for sergeivalevka in shared-dev environment,aws-shared-dev-lon-devsrv-sergeivalevka,dev-server-sergeivalevka,shared,infra-server,dev,Platform,confidential,false,false,,Disabled,False,true,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-0cb1963aafcf102e4,running,aws-shared-dev-lon-devsrv-oliverhunter,10.2.9.155,N/A,ip-10-2-9-155.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/dev-server-oliverhunter,ops,shared-dev,Terraform,Development Server for oliverhunter in shared-dev environment,aws-shared-dev-lon-devsrv-oliverhunter,dev-server-oliverhunter,shared,ops-server,dev,Operations,confidential,true,false,,Disabled,False,true,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-07edb70945392f47d,running,aws-shared-dev-lon-devsrv-andersondobomfim,10.2.9.250,N/A,ip-10-2-9-250.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/dev-server-andersondobomfim,infra,shared-dev,Terraform,Development Server for andersondobomfim in shared-dev environment,aws-shared-dev-lon-devsrv-andersondobomfim,dev-server-andersondobomfim,shared,infra-server,dev,Platform,confidential,false,false,,Disabled,False,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-030bc8ea9201c9857,running,aws-shared-dev-lon-zpa-connector-3,10.2.3.58,N/A,ip-10-2-3-58.eu-west-2.compute.internal,N/A,bypass,shared-dev/region/eu-west-2/zpa-connector,platform,shared-dev,Terraform,ZPA Connector Server 3 in shared-dev environment,aws-shared-dev-lon-zpa-connector-3,zpa-connector,shared,zpa-connector,dev,SecOps,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733930943835,shared-dev,eu-west-2,i-091af9458d040a0ab,running,aws-shared-dev-lon-questdb-research-1,10.2.8.5,N/A,ip-10-2-8-5.eu-west-2.compute.internal,9.4,private,shared-dev/region/eu-west-2/questdb-research,trading,shared-dev,Terraform,aws-shared-dev-lon-questdb-research-1,aws-shared-dev-lon-questdb-research-1,questdb-research,shared,questdb-research,dev,Data,confidential,false,false,,,false,,,,,,,,,,,,,,,,,,,,,,,,
